pubmed_id,findings
pmc5518544,"this study investigated the susceptibility of the reproductive tract of different bird species to influenza a  h9n2 and h6n8  and h7n9 viruses using the oviduct explant model. the study found that moc-du, derived from immature duck oviducts, were less susceptible to productive infection with h9n2 and h6n8 compared to moc-ch and moc-tu, derived from immature chicken and turkey oviducts, respectively. the study also found that h9n2 infection in moc-ch and moc-tu led to a significant upregulation of interferon lambda  ifnl  mrna expression compared to virus-free controls, but only ph1n1-infected moc-tu demonstrated a significant increase in ifnl mrna expression at 48 hours post infection compared to the virus-free controls. the study demonstrated differences in the expression of α2,3 and α2,6 sialic acids, which are important receptors of influenza viruses, between species and subsequently a different replication level of h9n2 and h6n8 in moc-ch and moc-tu. the study found that h9n2 and h6n8 viruses replicated to high levels in moc-ch and moc-tu, but the susceptibility of the reproductive tract for iav between different bird species varied significantly, and the infecting strain/subtype may influence the infection outcome."
pmc4818946,"the study found that only 13% of participants had high knowledge scores regarding vector control for malaria and dengue, despite the fact that jamaica has experienced significant outbreaks of dengue in the past. this highlights the need for improved public awareness and control measures during outbreaks. the study found that 79% of participants expressed dissatisfaction with garbage collection, indicating the need for the government to reassess efficiency and revamp services. the study found that homeowners were 65% less likely than renters to have high attitude scores, possibly due to the fact that homeowners are more likely to have higher income and live in better, cleaner neighborhoods with reliable garbage collection services. the study found that participants from households with fewer than 5 occupants had a 65% greater likelihood of having higher practice scores than those from households with 5 or more occupants, possibly due to the fact that people in smaller households have a relatively greater likelihood of keeping their surroundings clean and of taking preventive measures. the study found that participants from households with children were 3.4 times more likely than those from childless households to have high attitude scores, possibly due to the fact that parental beliefs are strongly associated with receipt of preventive healthcare by their children."
pmc6930547,"the study identified three proteins, chchd2, trim27, and ifitm3, that were differentially regulated in response to hsv-1 infection. the study found that the expression of chchd2 was upregulated by hsv-1 infection, and its knockdown resulted in a decrease in hsv-1 replication and viral titers. the study also found that the expression of trim27 was upregulated by hsv-1 infection, and its overexpression resulted in a decrease in hsv-1 replication and viral titers. the study discovered that the expression of ifitm3 was downregulated by hsv-1 infection, and its overexpression resulted in an increase in hsv-1 replication and viral titers. the study utilized a combination of mass spectrometry, western blotting, and quantitative reverse transcription polymerase chain reaction  qpcr  to identify and quantify differentially regulated proteins in response to hsv-1 infection."
pmc3640243,"according to the study in anambra state, nigeria, although 89.8% of health-care workers are aware of the disease surveillance  dsn  system, only 33.3%, 31.1%, and 33.7% of them know the specific uses of forms idsr 001, idsr 002, and idsr 003, respectively. these findings suggest low depth of knowledge about the use of the individual idsr forms, despite high awareness of the dsn system. the study also revealed that the knowledge of health-care workers about the use of the idsr forms at the facility and local government area  lga  levels is generally low, with only 22.4% of them correctly mentioning two diseases notified using the idsr 003 form. the findings of the study showed that the common uses of dsn records at the facility level include detecting and notifying outbreaks of disease  25.4% , statistics and planning  28.9% , prevention and control of disease  32.5% , and changes in the trend of occurrence of disease  32.9% . at the lga level, the common uses include purposes of record  14.0% , planning  45.6% , monitoring and evaluation of disease control measures  15.8% , and prevention and control of disease  22.8% . the study found that the idsr 001 and idsr 002 forms are predominantly found in primary health-care facilities, while the health-care facility records for forms idsr 001 and idsr 002 are less likely to be available in secondary health-care facilities  χ2=7.67, p=0.005 . the study also revealed that although 92.6% of health-care facilities had idsr 001 forms, only 63.0% of the subjects were aware of the dsn system and had copies of the standard case definitions for notifiable diseases. this suggests that the presence of simple and standard case definitions is a prerequisite for an effective surveillance system, and the availability of these forms is a factor negatively affecting the functionality of the dsn system."
pmc1190220,"the sars virus, caused by sars-cov, impairs multiple organs, leading to respiratory distress and decreased immune function, causing patient death. sars-cov encodes a protein, 3b, with unknown functions, which is nuclear-localized and interferes with cell cycle regulation. overexpression of 3b protein in transfected cells leads to cell cycle arrest in the g0/g1 phase and induction of apoptosis. the role of 3b protein in inducing cell cycle arrest is conserved in different cell types, while apoptosis induction is cell-type specific. massive necrosis and increased apoptosis cells are found in sars patients, with apoptosis cells identified in lung, spleen, liver, and lymph nodes, including pneumocytes, lymphocytes, and monocytes."
pmc2570843,"this study found that hantavirus rna can be detected in the saliva of patients with nephropathia epidemica  npe , indicating that hantavirus rna may be transmitted through saliva during coughing or kissing. the study found that hantavirus rna was present in the saliva of most  14 out of 14  hospitalized npe patients, suggesting that hantavirus rna in saliva could have a high infectious potential. the study found that hantavirus rna was detectable in saliva up to 9 days after onset of symptoms, indicating that hantavirus rna in saliva could persist for several days. the study found that hantavirus rna in saliva was most closely related to hantavirus strains found in northern sweden, where npe is endemic, supporting the hypothesis that person-to-person transmission of hantavirus may occur through inhalation of rodent excreta. the study found that hantavirus rna in saliva was present in patients with respiratory symptoms, indicating that hantavirus may be transmitted through respiratory secretions such as coughing and kissing."
pmc3290960,"diagnosis of chikungunya virus  chikv  infection was confirmed in four patients through positive reverse transcription  rt -pcr results, viral loads, and isolation of the virus from acute-phase sera in 2006. the outbreak was associated with the indian ocean region, and a new variant was identified through mutations in the e1 gene. the viral loads were high, up to 3.3 x 109 copies/ml, and severe arthralgia and tenosynovitis with pain on pressure were observed. late-to-chronic chikv rheumatic manifestations were also reported. the variant identified in the indian ocean region was genetically heterogeneous compared to strains in the east/central africa lineage, with specific amino acid mutations in the e1 gene. the variant emerged recently and dispersed in the region, leading to an epidemic pattern. chikv infection was transmitted through direct contact with highly viremic blood, potentially without the need for an animal reservoir, in accordance with the ecologic cycle of the virus and its vector in the region, which is similar to that seen in dengue fever. the diagnosis of chikv infection in a healthcare worker was associated with contact with the blood of a patient returning from the region during the outbreak, although the vector did not generally bite in southern france during winter. the quantification of viral loads through rna, which encompasses the target region, provided a good reflection of biologic reality, although in the absence of published data, high viral loads were uncommon in arthropodborne viral diseases such as dengue fever and west nile virus infection. high viremia was observed, which enabled virus isolation from all viremic patients."
pmc4884858,"a study on the prevalence of porcine kobuvirus  pkv  in fecal samples collected from different regions of gansu province, china, revealed that pkv infection is more prevalent in piglets than in adult pigs, and coinfections or mixed infections with other viruses, including porcine epidemic diarrhea virus  pedv  and sapovirus  sav , are common. the study found that pkv infection is often associated with porcine diarrheal diseases, highlighting the need for a national pkv surveillance program in china. the study showed that pkv infection is frequently observed in mixed infections or coinfections with other viruses, suggesting that further studies should be conducted to estimate the prevalence of pkv infections in other provinces of china and to improve our understanding of this virus and allow for its control. the study found that pkv infection is more prevalent in piglets with diarrhea than in adult pigs with diarrhea, indicating that pkv may be an opportunistic pathogen of gastroenteritis in pigs. the study revealed that the pkv infection rate in gansu province is higher than that in pigs with diarrhea in china, suggesting that further research is needed to estimate the prevalence of pkv infections in other provinces of china and to determine the full spectrum of kobuvirus hosts to establish the possibility of cross-species infections among animals and humans and the genomic similarities and homologies between different regions and different hosts."
pmc3545344,"at pet markets, direct and indirect contact with animals and related surfaces are widespread and pose a significant and major public health concern, as all animals, their containers, seller facilities, and sellers themselves are considered sources of potential contamination. the majority of observed visitors to vendors make indirect contact with animals through touching housing, tables, sellers, money, and other merchandise associated with vendors or animals. the proportion of visitors to vendors making subsequent modes of contact, such as hand to head  hand to mouth , hand to body  hand to body , and hand to another person, is broadly consistent between pet markets. person-to-person contamination is likely to rapidly increase its representation as presumed contaminated attendees move around the venue and readily form incidental contacts with a large number of people. the established nature of amphibians and reptiles as a reservoir of potentially pathogenic zoonotic agents implies that all animals, their containers, seller facilities, and sellers themselves must be regarded as sources of potential contamination. hand sanitizer products used do not offer comprehensive protection from infection, and their promotion may encourage misplaced public confidence in an unreliable method. contamination of clothes and hair represents a robust contamination source that persists even after leaving the pet market, regardless of hand cleansing. hand sanitizer products used were infrequently adopted at the visited events, and when present, were utilized in a less than thorough manner. the situating of pet markets in venues often used for general public purposes, such as school halls and leisure centres, constitutes a potential public health hazard that realistically may endure for days, weeks, or months following the conclusion of the pet market. the persistence of bacterial contamination on surfaces in the general environment, including door handles, floors, doorways, walls, light switches, and many others, constitutes a potential ongoing public health hazard. even non-attendance at a pet market does not guarantee that public health is not compromised, as these same venues may be sequentially used for a wide variety of other public purposes, including schooling of children, carrying with them a host of pathogens and the potential to spread disease far beyond the source"
pmc4609679,"a new calicivirus, named kirklareli virus, was identified in a turkish outbreak of enteritis in calves, causing 60% disease incidence and 30% mortality. the kirklareli virus is genetically related to neboviruses, but differs from them in genome organization, with a 1-nt overlap between orf1 and orf2, while members of the nebovirus genus have a 1-nt interval between the two orfs. the kirklareli virus failed to replicate in vitro, as observed in serial passages and viral replication by rt-pcr, similar to other enteric caliciviruses, except for the porcine sapovirus strain cowden and murine noroviruses. the kirklareli virus is distantly related to other bovine enteric caliciviruses, such as neboviruses, with a distinctive genome organization, and its pathogenic properties need to be determined by experimental infections. the kirklareli virus was detected in 5 of 17  29.4%  calves in the kirklareli outbreak, and in 1 additional herd in the ankara region, suggesting a limited/diverse geographical distribution."
pmc6716890,"between 2009 and 2018, there were 1713 articles related to the microbiome-gut-brain axis, with the usa, ireland, china, and canada being the leading countries in research. the dominant fields of the microbiome-gut-brain axis include modeling in animal systems, interplay between gut microbiota and the immune system, irritable bowel syndrome, and neurodegenerative diseases related to gut microbiota. the study found that a large amount of work on the microbiome-gut-brain axis focused on immunomodulation, irritable bowel syndrome, and neurodevelopmental disorders. despite considerable progress in illustrating communication between the gut microbiome and the brain, many issues remain about their relevance for therapeutic intervention of many diseases. the overall citation h-index for research on the microbiome-gut-brain axis is 106, with the usa, ireland, and canada having the highest h-index values."
pmc3778745,"the study found that both mycoplasma haemofelis  mhf  and 'candidatus' mycoplasma haemominutum  cmhm  infection, despite differing pathogenicity, are associated with an acute phase reactant  apr  in infected cats. the study found that infection with mhf was associated with significantly higher serum amyloid a  saa  concentrations than cmhm infection, indicating that saa increases and peaks earlier than other aps following experimentally-induced inflammation. the study found that infection with cmhm was also associated with significant increases in saa, confirming induction of an apr by cmhm, albeit of lower magnitude. the study found that the concentration of saa remained within reference intervals in feline immunodeficiency virus  fiv -infected cats with cmhm or mhf infection, but was significantly elevated, although to a highly variable degree between individuals, during acute mhf, but not during acute cmhm, infection. the study found that the retrospective nature of the study resulted in limitations, such as serum sample volumes not sufficient to facilitate the analysis of all three aps in all samples, statistical power limited by the relatively small number of animals in each group, and treatment periods for the mhf- and cmhm-infected cats being different, which limited statistical analysis of differences between the two infecting haemoplasma spp. more frequent sampling during the acute infection phase when the apr is maximal could have facilitated daily statistical comparisons."
pmc5322954,"this study is the first to compare adenoid and middle ear microbiota in both ome children and healthy controls using a sensitive method to detect a comprehensive panel of respiratory viruses and bacteria. the detection rate of bacteria in the middle ear was significantly higher in patients with ome than in controls, while the higher overall frequency of bacteria detection in mews from ome patients was expected due to the accumulation of middle ear effusion suctioning microbial components of the nasopharyngeal microbiota. the detection of adenovirus was more frequent in hypertrophic adenoid tissues from patients with ome than in normal adenoids from healthy controls, but it is not clear whether adenovirus has any role in pathogenesis of adenoid hypertrophy. simultaneous detection of hadv and s. pneumoniae in adenoid tissue could be acting in concert to modify the course of ome due to interactions between viruses and bacteria on different mucosal surfaces, including the upper respiratory tract mucosa and tonsils. the findings suggest that microbial correlations already described in acute middle ear disease could play a role in such chronic processes, and the presence of potentially pathogenic bacteria in the middle ear of patients undergoing cochlear implant is independent of biofilm formation. this study adds evidence that microbial community present in the middle ear may be associated with persistence of fluid and pathogenesis of ome due to higher detection rates of potentially pathogenic bacteria, but not respiratory viruses, by real-time pcr in middle ear samples as compared to control patients without adenoid hypertrophy. the study did not observe correlation between the microbiota of adenoid and middle ear, neither in ome children nor in controls. the findings suggest that microbial community present in the middle ear may be associated with persistence of fluid and pathogenesis of ome due to the observed association of detection of hadv and s. pneumoniae in adenoid tissues from patients with ome, which could be acting in concert to modify the course of ome due to interactions between viruses and bacteria on different mucosal surfaces, including the upper respiratory tract m"
pmc5052702,"the study identified 12 electrophilic probes and 20 nucleophilic fragments as potential inhibitors of the 3c protease of coxsackie virus b3. the inhibitory activity of the electrophilic probes was amplified by the nucleophilic fragments, resulting in irreversible inhibition. the study used a template-assisted assembly approach to identify the most potent inhibitors. the initial phases of the crystal structure of the protease-inhibitor complex were obtained using molecular replacement with the previously solved 3c protease structure as a search model. the study used a detailed binding confirmation approach for inhibitors through ligand docking, protein data bank, and the plp scoring function with 25 ga runs per ligand in the most accurate mode without water molecules and default parameter settings."
pmc4855071,"groel, a molecular adjuvant derived from escherichia coli, significantly enhances antibody responses against glycoprotein hormone receptors  gpcrs , which are challenging targets for antibody induction. dna immunization with groel as an adjuvant resulted in strong, specific antibody responses against the full-length endothelin a receptor  etar  in mice, whereas co-injection of plasmids encoding etar and groel resulted in lower antibody responses than the etar-groel plasmid. this finding suggests that groel may be capable of producing antibodies against most gpcrs. dna immunization is an efficient method for testing different immunogen designs. dna immunization allows for rapid testing of different immunogen designs and can be used to generate high-quality mabs against challenging targets such as gpcrs, multi-transmembrane proteins, and intracellular proteins. dna immunization does not require the production or purification of proteins from a pathogen, which avoids any issues related to biosafety. this finding makes dna immunization an attractive approach for producing high-quality mabs against conformation-sensitive targets, especially for emerging infectious agents once the pathogen gene sequence is known. dna immunization offers a unique approach for generating mabs in both mouse and rabbit models, as well as in human volunteers. dna immunization has been used to generate mabs from human volunteers via a single b cell cloning method, demonstrating its effectiveness in a wide range of hosts. dna immunization offers unique advantages for producing high-quality mabs. these advantages include the ability to induce higher-level antigen-specific b cell responses, the use of a heterologous prime-boost approach, and the ability to produce high-quality mabs against challenging targets such as conformation-sensitive targets. dna immunization can also be used to generate mabs in a wide range of hosts, including mouse, rabbit, and human. final boost immunization, which is commonly used to produce high-quality mabs, can be achieved through protein injection or through the use of cells as a boosting reagent. purified prote"
pmc4642378,"a systematic review of 31 studies published between 1990 and 2013 found that antibiotic use is a major factor contributing to the emergence and spread of antibiotic-resistant bacteria, particularly in the gulf cooperation council  gcc  states. a study in saudi arabia found that 73% of patients presenting with respiratory tract infections received antibiotics, 84% of patients with urinary tract infections received antibiotics, and 94% of patients with diarrhea received antibiotics, despite the fact that antibiotics are not recommended for these conditions. a study in saudi arabia found that antibiotic misuse is a major problem, with 31% of antibiotics being used for viral respiratory tract infections, 26% being used for acute respiratory distress syndrome, and 22% being used for self-medication. a study in saudi arabia found that 52% of patients with respiratory tract infections received antibiotics for more than 7 days, 62% of patients with urinary tract infections received antibiotics for more than 7 days, and 76% of patients with diarrhea received antibiotics for more than 7 days, despite the fact that antibiotics should be used for no more than 7 days. a study in saudi arabia found that 66% of patients presenting with respiratory tract infections received antibiotics without any laboratory test results, 84% of patients with urinary tract infections received antibiotics without any laboratory test results, and 95% of patients with diarrhea received antibiotics without any laboratory test results, despite the fact that antibiotics should only be prescribed after laboratory test results are available."
pmc3243390,"in the section on ""schistosomiasis transmission in the yangtze delta, china,"" the study found that only three of the 10 villages were able to sustain transmission without external inputs. this suggests the importance of connectivity in both endemic and re-emergent circumstances. the study also highlighted the need for a sensitive, cheap, and robust water monitoring procedure for the measurement of parasite concentration in surface waters, as this would allow estimation of the sum of ce t  and me t , as well as the development of advanced methods to distinguish cercariae from miracidia. in the section on ""schistosomiasis transmission in the yangtze delta, china,"" the study also noted that the extensive recent use of praziquantel and niclosamide in china has suppressed transmission levels difficult to detect by continued reliance on acute schistosomiasis case reports and episodic surveys for s. japonicum-infected humans and/or snails. for example, in 28 villages that had previously attained control status and were not known to currently support transmission, thorough surveys showed that human prevalence ranged from 0 to 27.8% per cent. in the section on ""schistosomiasis transmission in the yangtze delta, china,"" the study also observed that the lack of direct data from the field on ce t , me t , and the two spatial parameters are the major limitation in assessing the sources driving transmission in a single village. a major step forward in addressing this need would be the development of advanced methods to distinguish cercariae from miracidia in water samples, which would allow estimation of γ and ξ. in the section on ""schistosomiasis transmission in the yangtze delta, china,"" the study found that polymerase chain reaction  pcr  methods have been published for detection of the parasite, and preliminary work has been carried out in investigating field sampling methods with detection using qpcr methods for other waterborne pathogens, notably in the case of polio virus, also in circumstances, as with schistosomiasis in sichuan, where human case reports had previously provided the first warning of renewed transmission. in the section on """
pmc3562259,"among the five hepatotropic hepatitis viruses, only hepatitis b virus  hbv  and hepatitis d virus  hdv  have not yet developed an in vitro infection system in cell culture. hbv infection demands both intracellular and cell-surface factors, and the failure of hbv infection is largely due to strict restriction on the interaction between hbv virions and cell membrane. the molecules on the cell membrane needed for hbv infection can be divided into two classes  low affinity and high affinity molecules. the high affinity membrane partners for hbv remain elusive, but the authors identified one cellular protein, ntcp, which is a transmembrane protein that mediates bile acid transport and is located in the lateral surface  canalicular  of hepatocytes. ntcp was found to be necessary for hbv infection, and the authors could convert cell lines previously non-permissible to hbv infection to permissible by over-expressing ntcp, which supports its possible role in the hbv infection process. the authors identified a stretch of 10 amino acids in the ntcp transmembrane domain as the motif directly interacting with the hbv envelope proteins, but other cellular or viral factors have to be discovered and demonstrated to enhance the efficiency of viral infection, as ntcp itself is not sufficient to allow hbv infection."
pmc5683674,"a good correlation between granulocyte and neutrophil counts was observed, with a linear regression line almost identical to the line of identity. the study identified that if using granulocyte count to indicate a neutrophil result is less than 1.0 × 109/l, the best performing granulocyte count in terms of balancing false negatives with false positives would be <1.13 × 109/l, but in order to obtain no false negative results, a significantly higher threshold needs to be used. the study found that the granulocyte count warrants further consideration as a surrogate indicator of neutrophil count, and could be used to indicate the ctcae grade of neutropenia. the study suggested that, if point-of-care systems are to be considered for monitoring patients on chemotherapy away from the hospital setting, then the relationship between the granulocyte and neutrophil count must be established using the technologies that will be used in routine practice. the study concluded that, if point-of-care, using a three-part differential white count, is to be considered for monitoring patients on chemotherapy away from the hospital setting, then the relationship between the granulocyte and neutrophil count cannot be assumed to be applicable to laboratory analysers employing different detection methodologies or to poct systems."
pmc3388232,"the study found that treatment of bl cells with tlr9 ligands, specifically odn cpg-2006, induced a significant increase in hil-10 expression, a cytokine associated with inflammation and tumor progression. the study also found that bl cells from patients with a high risk of progression to aggressive disease stages expressed significantly higher levels of the tlr9 co-receptor compared to bl cells from patients with a low risk of progression. the study reported that bl cells from patients with a high risk of progression to aggressive disease stages had a significantly higher apoptotic rate compared to bl cells from patients with a low risk of progression. the study found that treatment of bl cells with tlr9 ligands led to a significant increase in caspase-3/7 activity, which is associated with apoptosis. the study also found that bl cells from patients with a high risk of progression to aggressive disease stages had a significantly higher caspase-3/7 activity compared to bl cells from patients with a low risk of progression."
pmc5589696,"ebola virus  ebov  enters host cells via binding of its glycoprotein  gp  to cellular receptors, primarily niemann-pick c1  npc1  and tim-4  timd4 , and is internalized via macropinocytosis pathway. however, the exact pathways involved in different cell lines and the unidentified proteins or receptors involved in unincorporated entry methods remain unclear. in uncoating and fusion, gp1 binds endosomes via its receptor-binding domain  rbd  and gp2 guides fusion via its fusion loop. the exact structural details and molecular mechanisms of ebov rnp  nucleocapsid, vp30, vp35, l, rna  complexes and the driving force directing vp35 to release rna from rnp are not fully defined. in replication, vp35 releases rna from rnp by inhibiting npc1-induced oligomerization, but the unidentified enzymes triggering and accelerating this process, as well as the molecular mechanism by which vp35 peptide releases rna from rnp, remain unclear. in assembly and budding, gp2 antagonizes the anchoring of tetherin via unarticulated mechanisms, and vp40 regulates viral budding by associating with the inner leaflet of the plasma membrane with unknown detailed mechanisms. the exact mechanisms by which gp antagonizes tetherin and how vp40 associates with the inner leaflet are not clear. intracellular viral particles may serve as a source of infectious units that can be delivered by exosomes combined with another signal-dependent process upon cell-to-cell contact, but the cell-to-cell contact is supposed to promote ebov gp-mediated infection, and increase the local concentration of retroviral pseudovirions and ebov vlps  virus-like particles . however, the exact role of exosomes in the ebov lifecycle is still limited, and further investigation is required."
pmc6172518,"over the 8-year period from 2007 to 2014, the prevalence of bacterial pneumonia decreased in children and adolescents in korea, with the exception of a unique spike in 2011, which is speculated to have resulted from a mycoplasma pneumoniae  m. pneumoniae  epidemic. during the study period, the prevalence of pleural effusion and empyema also decreased, with the exception of a unique spike in prevalence in 2011, which is speculated to have resulted from the m. pneumoniae epidemic. the study findings provide evidence of the probable contribution of the pneumococcal vaccination  pcv  program in lowering the risk for pneumonia in children and adolescents, but the rate of intensive care unit  icu  admission in this study varied greatly with age groups, with those <1 and 13–18 years of age showing particularly high icu admission rates. the study results suggest that prevention of severe interstitial lung disease, vaccination, and health measures are needed more, as bacterial pneumonia and empyema found significant seasonality in december and may, respectively, which is similar to the results of previous studies in other areas of pcv introduction and the cause of seasonality in pneumococcal disease. the findings of this study are limited by the use of nedis data, which is based on the diagnoses written in the medical records from the emergency department  ed , as it did not include those who were treated in outpatient clinics or those who were hospitalized through outpatient clinics, and the reliability of diagnosis and treatment may be limited by the proficiency of primary care physicians."
pmc4110237,"in the study by jørgensen et al., four herds with persistent diarrhoea in neonatal piglets were selected based on certain criteria, including a history of neonatal diarrhoea for at least one year, vaccination against escherichia coli and clostridium perfringens type c, failure of preventive antibiotic medication of sows, and negative results of routine diagnostic examination for enteritis in five piglets. the study by jørgensen et al. suggested that neither clostridium perfringens type a, clostridium difficile, strongyloides ransomi, giardia spp, nor cryptosporidium spp was involved in the diarrhoeal outbreaks. in the study by jørgensen et al., gross-pathological findings in affected piglets were characterized by flaccidity of intestines with no mucosal lesions and milk-filled stomachs. in the study by jørgensen et al., the presence of hollow flanks, protruding ribs, fore-knee abrasions, and dehydration was too low prevalent to be included in the statistical models due to problems with complete separation, caused by sparse data. in the study by jørgensen et al., population average odds ratios  orpa  were calculated using the following formula  orpa = exp βss / sqrt 1 + 0.346 * δ2litter where βss is the subject-specific regression coefficient and δ2litter is the litter variance. the population averaged, rather than cluster-specific estimates of ors, were used since the study aimed at drawing general rather than litter-specific conclusions."
pmc114066,"ebola virus gp can be cleaved by proteases other than furin, as evidenced by the detection of gp2 in virions with mutant gps lacking the furin recognition site. the extent of ebola virus gp cleavage by furin does not correlate with viral infectivity, as observed in two different pseudotype systems. ebola virus gp is posttranslationally acylated with palmitic acids at the cys670 and cys672 residues in the transmembrane anchor region of the molecule, and both of these cysteine residues are acylated. endothelial cells and hepatocytes are not necessarily the preferred targets of ebola virus gp, as evidenced by the lower infectivities of these cells compared to human kidney epithelial cells. antiserum to ebola virus gp/sgp can neutralize the infectivity of a murine retrovirus pseudotyped with the zaire gp, indicating the presence of subtype-specific neutralizing epitopes on ebola virus gp molecules, and the neutralizing activity can be markedly reduced in the presence of zaire sgp, suggesting that gp and sgp share neutralizing epitopes."
pmc2204037,"analysis of 495 near full-length hiv-1 group m sequences reveals that only 5.2% of possible 21-mers are >50% conserved, with highly conserved regions including regulatory domains and essential sequences for viral replication. targeting these highly conserved regions with antiviral sirnas overwhelms sequence diversity and reduces chances of viral mutational escape. a total of 216 highly conserved targets were identified, with 31 predicted functional by guidelines for sirna selection. validation of 41 sirnas against four hiv-1 strains revealed that 26 of them effectively inhibited viral replication by >80%, with some viral strains exhibiting nucleotide substitutions in target sites that abolished inhibition. highly effective sirnas with maximal conservation identified include si521  poly a site, 94% conservation , si764/770  ψ, 88% , si510  tar/poly a, 84% , si2075  ribosomal slip site, 70% , and si4750/4751/4753  integrase region, 71-74% . these regions are found mostly in the 5' ltr, protease, and integrase."
pmc523257,"dc-sign and dc-signr enhance filovirus and sars-cov infection through lectin engagement, with marv gp and s-bearing pseudotypes showing 35-65 and 30-fold increases in infectious entry, respectively. engagement of dc-sign by sars-cov s glycoprotein is specifically blocked by the carbohydrate mannan, indicating that dc-sign facilitates sars-cov transmission to susceptible cells. dc-sign and dc-signr do not function as receptors for sars-cov, but they can promote sars-cov infection of already-permissive cells. dc-sign-expressing dendritic cells  dcs  are not permissive to sars-cov infection but can transmit sars-cov to susceptible cells, and only 50% of dc-mediated viral transfer is inhibited by mannan, suggesting that factors other than dc-sign or related lectins contribute to transmission. dc-sign-expressing alveolar macrophages could capture and transmit virus to susceptible cells, such as type ii pneumocytes, which might promote local infection during sars-cov infection."
pmc5242487,"the experiment demonstrated the spread of porcine epidemic diarrhea virus  pedv  to nearly all feed- and non-feed-contact surfaces in a feed manufacturing facility, with viral contamination particularly challenging to decontaminate, even with the aid of wet sanitizers and heat. the study found that plastic and rubber surfaces were less conducive to pedv contamination compared to concrete and metal surfaces, likely due to their smoother attributes. the experiment showed that equipment surfaces, due to direct contact with contaminated feed, had greater contamination compared to structural surfaces, which were less conducive to contamination but still showed significant contamination. dust generated during processing of contaminated feed was found to lead to contamination of previously uncontaminated surfaces, emphasizing the important role dust particles may play in the spread of biological hazards throughout a feed manufacturing facility. the study highlights the need for feed mill operators to be particularly judicious regarding use of good manufacturing practices and biosecurity protocols to exclude pedv from entry into the feed mill, as the virus was spread to nearly all feed- and non-feed-contact surfaces and was particularly challenging to decontaminate, even with the aid of wet sanitizers and heat. additional research is necessary to understand the role of dust in animal food biological hazard transmission and to formulate practical feed mill sanitation recommendations to prevent and reduce pedv contamination of equipment and facilities."
pmc6797241,"in a pediatric stem cell transplant population, universal use of surgical masks by healthcare providers was associated with a greater than 50% reduction in nosocomial respiratory virus  rv  infection. in a rehabilitation setting, earlier initiation of transmission-based precautions for symptomatic patients, discouraging visitation by people with potentially infectious symptoms, and making it easier for staff to stay home when sick, significantly reduced the number of bed closure days due to rv outbreaks. in a pediatric population, nosocomial transmission of rvs was prevented through increased viral testing, but continued sporadic nosocomial transmission of rvs was observed despite improvement in infection prevention and control practices. in a pediatric population, limiting visits by children under the age of 12 during the winter months may reduce nosocomial transmission of viral respiratory infection. in the rehabilitation setting, despite the reduction in symptomatic visitation, either healthcare providers or visitors could have continued to transmit rvs through asymptomatic viral carriage."
pmc6721277,"spatio-temporal analysis of eight infectious diseases in china from 2006 to 2016 revealed a distinct increasing trend for hand-foot-mouth disease  hfmd  and hepatitis e, while decreasing trends for tap, dysentery, and hepatitis a were observed. the incidence of oiid remained steady, and summer was the season with the greatest number of cases of different infectious diseases. the spatio-temporal distribution of infectious diseases was unevenly distributed throughout china, with high-risk areas for hfmd and oiid located in the beijing-tianjin-tangshan region and south china. high-risk areas for tap were found in some parts of southwest china, while higher incidence rates for dysentery and hepatitis a were observed in the beijing-tianjin-tangshan region and some western provincial units. high-risk areas for hepatitis e were found in the beijing-tianjin-tangshan region and the yangtze river delta area. the study suggests that the authorities should pay more attention to class c diseases and hepatitis e, as the incidence rate of hepatitis e surpassed hepatitis a. disease-specific, location-specific, and disease-combined interventions should be established, regardless of the various distribution patterns of infectious diseases."
pmc2270820,"the study identified a contemporary human parechovirus type 1  hpev1  strain through vidisca virus discovery cdna amplification fragment length polymorphism analysis. phylogenetic analysis and recombination analysis revealed evidence of recombination between type 3 nonstructural protein genes and type 1 structural protein genes in the identified hpev1 strain. the study found that the non-structural protein genes of the identified hpev1 strain and of prototype hpev3 strains are not co-segregating, which highlights the lack of knowledge on the genesis and ecology of human parechoviruses. the study confirmed that the 5'-noncoding region of the identified hpev1 strain has likely been acquired from an hpev4 strain. the study identified a breakpoint at the border between structural and nonstructural genes in the identified hpev1 strain, suggesting a potential recombination event between type 3 nonstructural protein genes and type 1 structural protein genes."
pmc3920964,"in sepsis, elevated extracellular cypa is associated with disease severity, and blocking its activity reduces the accumulation of inflammatory cells.  107, 108  cypa is involved in the pathological infiltration and destruction of periodontitis.  110, 112  cypa expression is upregulated in aging skin and correlates with alveolar bone destruction in chronic lung diseases.  110, 112  cypa is significantly enriched in abundance in the synovial fluids of patients with ra.  105  cypa is a mediator in the pathological inflammation and destruction of periodontitis, and its expression correlates with mmp-1, mmp-2, and mmp-9 expression in inflamed periodontal tissues.  110, 112, 118 "
